within_diff,p_value,n_users,on_days,name,group,n_tests,bonf_threshold,sig_corrected,sig_uncorrected
-0.10208472796391221,0.5044341081106845,698,14258,Coffee,Food,50,0.001,False,False
0.016080369681472084,0.4028553360630246,708,12544,Water,Food,50,0.001,False,False
-0.06385739541267765,0.6960278878264617,556,8479,Tea,Food,50,0.001,False,False
0.010953375939891097,0.7572165362274529,530,7549,Chocolate,Food,50,0.001,False,False
-0.08923258184945859,0.719691648832254,382,5739,Milk,Food,50,0.001,False,False
0.032507982398299884,0.2304713641434437,415,6016,Sugar,Food,50,0.001,False,False
0.014851427227597025,0.4332590549465156,551,4974,Chicken,Food,50,0.001,False,False
-0.039497011948088745,0.25780186173802333,444,4637,Banana,Food,50,0.001,False,False
0.02527141615358075,0.770854701530181,444,3270,Pizza,Food,50,0.001,False,False
-0.06332063321172343,0.050859778266022636,421,3723,Salad,Food,50,0.001,False,False
0.012557932625221535,0.00871236653662825,279,2548,Cheese,Food,50,0.001,False,True
-0.1004848348236036,0.8299287987884457,163,1844,Bread,Food,50,0.001,False,False
0.09429727190504822,0.12509881199903378,180,1601,Eggs,Food,50,0.001,False,False
-0.06428217169846062,0.8019332548991993,207,1662,Rice,Food,50,0.001,False,False
-0.15715900914790826,0.016140496453781503,113,1974,Dairy,Food,50,0.001,False,True
0.04019063427903169,0.11013121262672604,201,1434,Pasta,Food,50,0.001,False,False
-0.002160145719057982,0.17564231626426197,99,1706,Gluten,Food,50,0.001,False,False
0.07644380724148836,0.3446998252885175,183,1341,Apple,Food,50,0.001,False,False
-0.03464848245162788,0.0142243470388219,130,1164,Toast,Food,50,0.001,False,True
0.0701608990311624,0.06257280163049549,132,1374,Cereal,Food,50,0.001,False,False
-0.02514624492083517,0.5255359484294057,161,1440,Yogurt,Food,50,0.001,False,False
0.029278171823896137,0.8880845406056206,160,1313,Ice Cream,Food,50,0.001,False,False
0.037892314407015015,0.21311943649716303,128,930,Egg,Food,50,0.001,False,False
0.04323171776499879,0.6712447242378161,125,994,Oatmeal,Food,50,0.001,False,False
0.003795580521449793,0.295795986199194,148,1026,Chips,Food,50,0.001,False,False
0.040557231597792676,0.9693923676619498,111,890,Bacon,Food,50,0.001,False,False
0.004960567045272368,0.002628556119380477,116,755,Potatoes,Food,50,0.001,False,True
0.03171436493535129,0.5802643652776147,86,989,Blueberries,Food,50,0.001,False,False
0.01935746488701595,0.028628175660808386,87,934,Alcohol,Food,50,0.001,False,True
-0.018362643218758357,0.3149116669451224,114,834,Avocado,Food,50,0.001,False,False
0.01284790305829897,0.7921020632068321,89,582,Orange Juice,Food,50,0.001,False,False
-0.15865596505788482,0.10232770923406187,74,1017,Smoothie,Food,50,0.001,False,False
-0.05084962089055267,0.6302957952007756,87,755,Carrots,Food,50,0.001,False,False
0.11619845990741462,0.7337690084812389,61,907,Crisps,Food,50,0.001,False,False
-0.07888374953442645,0.18763384317482024,90,580,Fries,Food,50,0.001,False,False
-0.03688562456577793,0.777816080614825,96,677,Broccoli,Food,50,0.001,False,False
0.07029893838129042,0.8667945013760339,80,731,Strawberries,Food,50,0.001,False,False
0.07665551067347498,0.3030071002987673,90,621,Peanut Butter,Food,50,0.001,False,False
0.019984405251158854,0.06498939475525199,83,552,Popcorn,Food,50,0.001,False,False
0.07211006990435165,0.36165221528186664,75,621,Grapes,Food,50,0.001,False,False
0.086964085628354,0.5424398603127889,51,620,Coke,Food,50,0.001,False,False
0.024293795174412547,0.07178446911798173,68,572,Almond Milk,Food,50,0.001,False,False
0.022562725532751626,0.05614555034752417,57,483,French Fries,Food,50,0.001,False,False
-0.06157036257193471,0.8297104821081839,47,514,Butter,Food,50,0.001,False,False
0.050496825126738365,0.06333178842036782,73,567,Spinach,Food,50,0.001,False,False
-0.0007079104594785446,0.16935408561070353,69,467,Tomatoes,Food,50,0.001,False,False
-0.013503193100269928,0.6374005608953051,52,498,Soda,Food,50,0.001,False,False
0.08548702632330107,0.12910079956054688,31,762,Veggies,Food,50,0.001,False,False
0.09695677741840636,0.7835541870769106,81,532,Cookies,Food,50,0.001,False,False
-0.07272378919133449,0.3126079806009412,36,598,Hot Chocolate,Food,50,0.001,False,False
-0.02096732868896989,0.5139001086939644,1424,22628,Dairy (category),Food Category,6,0.008333333333333333,False,False
